ID,Match #,Team,G#,R#,A/D,Map,Type,W/L,Rank,Bet%,Against,EnR,P1,KDS1,P1 Picks,P2,KDS2,P2 Picks,P3,KDS3,P3 Picks,P4,KDS4,P4 Picks,P5,KDS5,P5 Picks,P6,KDS6,P6 Picks,VOD URL,,,,,
3312,3,Cloud9.gg,3,1,D,Hana,Assault,2/2CP,2,77,CONBOX Spirit,142,Gods,7|0|0,Roadhog,Mendokusaii,9|0|0,Soldier:76,Adam,2|0|0,Symmetra,Surefour,2|1|0,Zarya,ryb,3|0|0,Reinhardt,Roolf,0|0|0,Ana,https|//youtu.be/gEAwwJATEK0?t=2m50s,,,,,
3322,3,Cloud9.gg,3,2,A,Hana,Assault,1/1CP,2,77,CONBOX Spirit,142,Gods,1|0|0,Roadhog,Mendokusaii,3|0|0,Tracer,Adam,0|0|0,Lucio,Surefour,2|0|0,Zarya,ryb,0|1|0,Reinhardt,Roolf,0|0|0,Ana,https|//youtu.be/gEAwwJATEK0?t=9m50s,,,,,
3411,3,CONBOX Spirit,4,1,A,Route 66,Escort,3/3CP,142,23,Cloud9.gg,2,Gamsu,10|2|0,"Winston, Reinhardt, Winston",twilight,6|7|0,"Zenyatta, Ana, Genji",Liz.,7|2|0,"Tracer, Reaper, Tracer",Oparochi,2|1|0,Lucio,MyungHoon 명훈,6|5|0,"Genji, D.Va",SleepyBearOW,9|3|0,"D.Va, Zarya",https|//youtu.be/gEAwwJATEK0?t=14m4s,,,,,
3421,3,CONBOX Spirit,4,2,D,Route 66,Escort,0/3CP,142,23,Cloud9.gg,2,Gamsu,4|5|0,Reinhardt,twilight,0|7|0,Ana,Liz.,3|6|0,"Soldier:76, Reaper",Oparochi,0|6|0,Lucio,MyungHoon 명훈,1|6|0,"D.Va, Zarya",SleepyBearOW,3|6|0,"Roadhog, D.Va",https|//youtu.be/gEAwwJATEK0?t=25m4s,,,,,
3412,3,Cloud9.gg,4,1,D,Route 66,Escort,0/3CP,2,77,CONBOX Spirit,142,Gods,8|8|0,"Roadhog, Mei",Mendokusaii,5|7|0,"Soldier:76, Tracer, Soldier:76, Tracer",Adam,1|5|0,"Mercy, Lucio",Surefour,5|5|0,"Zarya, McCree, D.Va, Sombra",ryb,0|10|0,Reinhardt,Roolf,1|5|0,Ana,https|//youtu.be/gEAwwJATEK0?t=14m4s,,,,,
3422,3,Cloud9.gg,4,2,A,Route 66,Escort,3/3CP,2,77,CONBOX Spirit,142,Gods,9|2|0,"Genji, Roadhog",Mendokusaii,7|2|0,Tracer,Adam,2|1|0,Lucio,Surefour,11|1|0,Zarya,ryb,5|4|0,Reinhardt,Roolf,2|1|0,Ana,https|//youtu.be/gEAwwJATEK0?t=25m4s,,,,,
2431,3,CONBOX Spirit,4,3,A,Route 66,Escort,0/3CP,142,23,Cloud9.gg,2,Gamsu,0|1|0,Winston,twilight,0|1|0,Zenyatta,Liz.,1|1|0,Tracer,Oparochi,0|2|0,Lucio,MyungHoon 명훈,0|2|0,Genji,SleepyBearOW,2|1|0,D.Va,https|//youtu.be/gEAwwJATEK0?t=31m51s,,,,,
3432,3,Cloud9.gg,4,3,D,Route 66,Escort,3/3CP,2,77,CONBOX Spirit,142,Gods,3|0|0,Roadhog,Mendokusaii,3|0|0,Soldier:76,Adam,0|1|0,Lucio,Surefour,2|0|0,Zarya,ryb,0|2|0,Reinhardt,Roolf,0|0|0,Ana,https|//youtu.be/gEAwwJATEK0?t=31m51s,,,,,
3441,3,CONBOX Spirit,4,4,D,Route 66,Escort,0/1CP,142,23,Cloud9.gg,2,Gamsu,0|2|0,Reinhardt,twilight,0|2|0,Ana,Liz.,0|2|0,Soldier:76,Oparochi,0|1|0,Lucio,MyungHoon 명훈,0|1|0,D.Va,SleepyBearOW,1|2|0,Roadhog,https|//youtu.be/gEAwwJATEK0?t=34m51s,,,,,
3442,3,Cloud9.gg,4,4,A,Route 66,Escort,1/1CP,2,77,CONBOX Spirit,142,Gods,2|0|0,Genji,Mendokusaii,2|1|0,Tracer,Adam,4|0|0,Lucio,Surefour,2|0|0,Zarya,ryb,3|0|1,Reinhardt,Roolf,0|0|0,Ana,https|//youtu.be/gEAwwJATEK0?t=34m51s,,,,,
7111,7,KongDoo Uncia,1,1,N/A,Oasis,Control,Win,17,69,Afreeca Freecs Blue,14,Panker,9|4|0,"Reinhardt, Winston",ButcherKR,1|3|0,D.Va,DNCE,4|3|0,Roadhog,birdring,4|1|0,"Soldier:76, Tracer",Bubbly-R11bbon,1|3|0,Lucio,Lucid,0|3|0,Ana,https|//youtu.be/U6Rxn-pc8cA?t=16m36s,,,,,
7112,7,Afreeca Freecs Blue,1,1,N/A,Oasis,Control,Loss,14,31,KongDoo Uncia,17,Amon,0|2|0,Ana,ArHaN,3|2|0,D.Va,Mano,2|2|0,Lucio,AFAdam,2|4|0,Reinhardt,ReCry,4|4|0,Soldier:76,DongHyuN,6|5|0,"Roadhog, Tracer",https|//youtu.be/U6Rxn-pc8cA?t=16m36s,,,,,
7121,7,KongDoo Uncia,1,2,N/A,Oasis,Control,Win,17,69,Afreeca Freecs Blue,14,Panker,4|4|0,Reinhardt,ButcherKR,4|1|0,Zarya,DNCE,4|3|0,Roadhog,birdring,4|5|0,"Genji, McCree",Bubbly-R11bbon,3|1|0,Lucio,Lucid,3|1|0,Ana,https|//youtu.be/ECJSvLekQic?t=30m20s,,,,,
7122,7,Afreeca Freecs Blue,1,2,N/A,Oasis,Control,Loss,14,31,KongDoo Uncia,17,Amon,1|3|0,Ana,ArHaN,5|4|0,Genji,Mano,1|4|0,Lucio,AFAdam,1|4|0,Reinhardt,ReCry,4|3|0,Soldier:76,DongHyuN,3|4|0,Zarya,https|//youtu.be/ECJSvLekQic?t=30m20s,,,,,
7211,7,KongDoo Uncia,2,1,D,King's Row,Hybrid,2/3CP,17,69,Afreeca Freecs Blue,14,Panker,4|5|0,Reinhardt,ButcherKR,11|2|0,Zarya,DNCE,8|2|0,Roadhog,birdring,14|3|0,Soldier:76,Bubbly-R11bbon,0|1|0,"Lucio, Mercy",Lucid,3|1|0,Ana,https|//youtu.be/ECJSvLekQic?t=38m59s,,,,,
7212,7,Afreeca Freecs Blue,2,1,A,King's Row,Hybrid,1/3CP,14,31,KongDoo Uncia,17,Amon,0|6|0,Ana,ArHaN,3|7|0,"Genji, Reaper",Mano,1|7|0,Lucio,AFAdam,4|8|0,Reinhardt,ReCry,3|7|0,"Soldier:76, Reaper, Pharah",DongHyuN,3|5|0,Zarya,https|//youtu.be/ECJSvLekQic?t=38m59s,,,,,
7221,7,KongDoo Uncia,2,2,A,King's Row,Hybrid,2/2CP,17,69,Afreeca Freecs Blue,14,Panker,1|2|0,Reinhardt,ButcherKR,4|2|0,Zarya,DNCE,3|0|0,Roadhog,birdring,5|1|0,McCree,Bubbly-R11bbon,1|0|0,Lucio,Lucid,0|0|0,Ana,https|//youtu.be/ECJSvLekQic?t=39m21s,,,,,
7222,7,Afreeca Freecs Blue,2,2,D,King's Row,Hybrid,0/2CP,14,31,KongDoo Uncia,17,Amon,0|2|0,Ana,ArHaN,0|3|0,Zarya,Mano,1|1|0,Lucio,AFAdam,1|2|0,Reinhardt,ReCry,0|4|0,Soldier:76,DongHyuN,3|2|0,Roadhog,https|//youtu.be/ECJSvLekQic?t=39m21s,,,,,
7311,7,KongDoo Uncia,3,1,A,Volskaya,Assault,2/2CP,17,69,Afreeca Freecs Blue,14,Panker,3|3|0,Reinhardt,ButcherKR,3|2|1,D.Va,DNCE,3|3|0,"Roadhog, Tracer",birdring,6|3|1,"Genji, McCree, Soldier:76",Bubbly-R11bbon,2|0|3,Lucio,Lucid,1|1|1,Ana,https|//youtu.be/ECJSvLekQic?t=53m12s,,,,,
7312,7,Afreeca Freecs Blue,3,1,D,Volskaya,Assault,0/2CP,14,31,KongDoo Uncia,17,Amon,1|3|0,Ana,ArHaN,1|5|0,"Sombra, Roadhog, Tracer",Mano,3|3|0,Lucio,AFAdam,0|3|0,"Reinhardt, Winston",ReCry,2|1|0,Soldier:76,DongHyuN,5|3|0,D.Va,https|//youtu.be/ECJSvLekQic?t=53m12s,,,,,
7321,7,KongDoo Uncia,3,2,D,Volskaya,Assault,0/2CP,17,69,Afreeca Freecs Blue,14,Panker,1|3|0,Reinhardt,ButcherKR,2|4|0,"D.Va, Winston",DNCE,2|3|0,Roadhog,birdring,1|3|0,Soldier:76,Bubbly-R11bbon,0|3|0,Lucio,Lucid,0|5|0,"Ana, Sombra",https|//youtu.be/ECJSvLekQic?t=1h20s,,,,,
7322,7,Afreeca Freecs Blue,3,2,A,Volskaya,Assault,2/2CP,14,31,KongDoo Uncia,17,Amon,3|1|0,Ana,ArHaN,4|1|0,Genji,Mano,2|0|0,Lucio,AFAdam,4|2|0,Reinhardt,ReCry,7|0|0,McCree,DongHyuN,1|2|0,"Winston, D.Va",https|//youtu.be/ECJSvLekQic?t=1h20s,,,,,
7321,7,KongDoo Uncia,3,3,A,Volskaya,Assault,1/2CP,17,69,Afreeca Freecs Blue,14,Panker,1|3|0,"Winston, Reinhardt",ButcherKR,1|1|0,D.Va,DNCE,2|2|0,"Widowmaker, Tracer",birdring,4|2|0,"Genji, Soldier:76",Bubbly-R11bbon,0|3|0,Lucio,Lucid,1|1|0,Ana,https|//youtu.be/ECJSvLekQic?t=1h6m5s,,,,,
7322,7,Afreeca Freecs Blue,3,3,D,Volskaya,Assault,1/2CP,14,31,KongDoo Uncia,17,Amon,1|2|0,Ana,ArHaN,2|1|0,"Torbjorn, Genji",Mano,0|1|0,Lucio,AFAdam,2|2|0,Reinhardt,ReCry,3|2|0,Soldier:76,DongHyuN,4|1|0,"D.Va, Zarya",https|//youtu.be/ECJSvLekQic?t=1h6m5s,,,,,
7321,7,KongDoo Uncia,3,4,D,Volskaya,Assault,0/2CP,17,69,Afreeca Freecs Blue,14,Panker,5|5|0,"Reinhardt, Mei",ButcherKR,8|3|0,D.Va,DNCE,1|6|0,"Roadhog, Tracer, Roadhog, Tracer",birdring,5|6|0,Genji,Bubbly-R11bbon,1|5|0,Lucio,Lucid,0|8|0,"Ana, Sombra",https|//youtu.be/ECJSvLekQic?t=1h11m35s,,,,,
7322,7,Afreeca Freecs Blue,3,4,A,Volskaya,Assault,2/2CP,14,31,KongDoo Uncia,17,Amon,0|4|0,Ana,ArHaN,9|3|0,Genji,Mano,3|2|0,Lucio,AFAdam,2|4|0,Reinhardt,ReCry,7|5|0,McCree,DongHyuN,12|2|1,D.Va,https|//youtu.be/ECJSvLekQic?t=1h11m35s,,,,,
7411,7,KongDoo Uncia,4,1,A,Gibraltar,Escort,3/3CP,17,69,Afreeca Freecs Blue,14,Panker,5|1|0,Reinhardt,ButcherKR,4|3|0,"Winston, Zarya",DNCE,8|1|0,Roadhog,birdring,7|3|0,"Genji, Soldier:76",Bubbly-R11bbon,0|0|0,Lucio,Lucid,0|1|0,Ana,https|//youtu.be/ECJSvLekQic?t=1h20m30s,,,,,
7412,7,Afreeca Freecs Blue,4,1,D,Gibraltar,Escort,0/3CP,14,31,KongDoo Uncia,17,Amon,1|3|0,Ana,ArHaN,1|4|0,"Genji, Reaper",Mano,1|4|0,Lucio,AFAdam,1|5|0,Reinhardt,ReCry,2|5|0,"Soldier:76, McCree, Mei",DongHyuN,2|3|0,Zarya,https|//youtu.be/ECJSvLekQic?t=1h20m30s,,,,,
7421,7,KongDoo Uncia,4,2,D,Gibraltar,Escort,1/3CP,17,69,Afreeca Freecs Blue,14,Panker,8|8|0,Reinhardt,ButcherKR,4|6|0,"D.Va, Zarya, Winston",DNCE,8|6|0,"Roadhog, Winston, D.Va",birdring,9|7|0,Soldier:76,Bubbly-R11bbon,6|4|0,Lucio,Lucid,1|5|0,Ana,https|//youtu.be/ECJSvLekQic?t=1h26m54s,,,,,
7422,7,Afreeca Freecs Blue,4,2,A,Gibraltar,Escort,2/3CP,14,31,KongDoo Uncia,17,Amon,6|5|0,Ana,ArHaN,10|4|0,Soldier:76,Mano,1|5|0,Lucio,AFAdam,2|8|0,Reinhardt,ReCry,10|7|0,"Hanzo, McCree, Widowmaker, McCree",DongHyuN,7|7|0,D.Va,https|//youtu.be/ECJSvLekQic?t=1h26m54s,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
