ID,Match #,Team,G#,R#,A/D,Map,Type,W/L,Rank,Bet%,Against,EnR,P1,KDS1,P1 Picks,P2,KDS2,P2 Picks,P3,KDS3,P3 Picks,P4,KDS4,P4 Picks,P5,KDS5,P5 Picks,P6,KDS6,P6 Picks,VOD URL
2311,2,LuxuryWatch BLUE,3,1,A,Volk,Assault,3/3CP,55,32,MisfitsGG,5,Fl0w3r-Nanohana,3|1|0,Soldier:76,Gambler,1|0|0,Winston,OWLuna,3|0|0,Ana,janus,1|1|0,Reinhardt,Mek0,3|1|0,D.Va,Saebyeolbe,4|0|0,Tracer,https|//youtu.be/ZchCK9xZb2I?t=1h15m2s
2321,2,LuxuryWatch BLUE,3,2,D,Volk,Assault,1/3CP,55,32,MisfitsGG,5,Fl0w3r-Nanohana,6|4|0,"Soldier:76, Mei",Gambler,0|3|0,Lucio,OWLuna,2|3|0,Ana,janus,10|3|0,"Reinhardt, Winston, Reinhardt",Mek0,8|3|0,D.Va,Saebyeolbe,9|5|0,Tracer,https|//youtu.be/ZchCK9xZb2I?t=1h19m59s
2312,2,MisfitsGG,3,1,D,Volk,Assault,0/3CP,5,68,LuxuryWatch BLUE,55,Mannetens,0|3|0,Roadhog,NevixOW,0|2|0,Ana,Zave,0|3|0,Lucio,TviQ,0|3|0,Soldier:76,Zebbosai,3|3|0,"Zarya, Tracer",Reinforce,0|1|1,Reinhardt,https|//youtu.be/ZchCK9xZb2I?t=1h15m2s
2322,2,MisfitsGG,3,2,A,Volk,Assault,2/3CP,5,68,LuxuryWatch BLUE,55,Mannetens,8|6|0,"Widowmaker, Roadhog",NevixOW,1|5|0,"Mercy, Ana",Zave,0|6|0,Lucio,TviQ,3|7|0,"Genji, Soldier:76",Zebbosai,4|5|1,"Pharah, D.Va",Reinforce,5|6|2,"D.Va, Reinhardt",https|//youtu.be/ZchCK9xZb2I?t=1h19m59s
2411,2,LuxuryWatch BLUE,4,1,A,Gibr,Escort,3/3CP,55,32,MisfitsGG,5,Fl0w3r-Nanohana,11|2|0,"Genji, Soldier:76",Gambler,1|3|0,Lucio,OWLuna,2|3|0,"Zenyatta, Ana",janus,5|3|1,"Winston, Reinhardt",Mek0,12|1|0,D.Va,Saebyeolbe,7|3|0,"Tracer, Roadhog",https|//youtu.be/ZchCK9xZb2I?t=1h31m28s
2421,2,LuxuryWatch BLUE,4,2,D,Gibr,Escort,Win,55,32,MisfitsGG,5,Fl0w3r-Nanohana,9|3|0,"Soldier:76, Winston",Gambler,0|1|0,Lucio,OWLuna,2|1|0,Ana,janus,1|2|0,Reinhardt,Mek0,4|1|0,D.Va,Saebyeolbe,5|2|0,"Roadhog, Tracer",https|//youtu.be/ZchCK9xZb2I?t=1h40m52s
2412,2,MisfitsGG,4,1,D,Gibr,Escort,0/3CP,5,68,LuxuryWatch BLUE,55,Mannetens,3|6|0,Roadhog,NevixOW,2|5|0,Ana,Zave,1|6|0,Lucio,TviQ,2|7|0,Soldier:76,Zebbosai,7|6|0,D.Va,Reinforce,0|8|0,"Reinhardt, Winston, Reinhardt",https|//youtu.be/ZchCK9xZb2I?t=1h31m28s
2422,2,MisfitsGG,4,2,A,Gibr,Escort,Loss,5,68,LuxuryWatch BLUE,55,Mannetens,4|3|0,"Tracer, Reaper",NevixOW,0|4|0,Zenyatta,Zave,0|3|0,Lucio,TviQ,4|3|0,Genji,Zebbosai,1|5|0,Widowmaker,Reinforce,1|3|0,Winston,https|//youtu.be/ZchCK9xZb2I?t=1h40m52s
6111,6,OWLunatic Hai,1,1,N/A,Lijiang,Control,Win,8,90,Afreeca Freecs Red,23,Ryujehong,3|2|0,Zenyatta,tobi,2|0|0,Lucio,Miro,6|0|0,Winston,zunba,1|2|0,Zarya,Leetaejun,4|0|0,Tracer,Whoru,4|1|0,Genji,https|//youtu.be/wTIRw2Hzm9Y?t=12m20s
6112,6,Afreeca Freecs Red,1,1,N/A,Lijiang,Control,Loss,23,10,OWLunatic Hai,8,TyDolla,3|5|0,Genji,attune,1|2|1,Tracer,QMain,0|4|0,Lucio,LMan,0|2|1,Zarya,TakeThis,1|3|1,D.Va,NAVI,0|4|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=12m20s
6121,6,OWLunatic Hai,1,2,N/A,Lijiang,Control,Win,8,90,Afreeca Freecs Red,23,Ryujehong,1|4|0,"Zenyatta, Ana",tobi,3|3|0,Lucio,Miro,1|4|0,Winston,zunba,2|4|0,"Zarya, D.Va",Leetaejun,5|2|0,Tracer,Whoru,7|2|0,Genji,https|//youtu.be/wTIRw2Hzm9Y?t=16m45s
6122,6,Afreeca Freecs Red,1,2,N/A,Lijiang,Control,Loss,23,10,OWLunatic Hai,8,TyDolla,7|4|0,Genji,attune,3|3|0,Tracer,QMain,0|4|0,Lucio,LMan,6|3|0,Winston,TakeThis,2|2|0,D.Va,NAVI,1|3|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=16m45s
6211,6,OWLunatic Hai,2,1,D,Kings,Hybrid,0/3CP,8,90,Afreeca Freecs Red,23,Ryujehong,3|10|0,Ana,tobi,4|5|0,Lucio,Miro,5|9|0,Reinhardt,zunba,4|7|0,"D.Va, Zarya, D.Va",Leetaejun,5|10|0,"D.Va, Pharah, Winston",Whoru,15|9|0,"Genji, Tracer, Soldier:76, Tracer",https|//youtu.be/wTIRw2Hzm9Y?t=24m26s
6212,6,Afreeca Freecs Red,2,1,A,Kings,Hybrid,3/3CP,23,10,OWLunatic Hai,8,TyDolla,17|6|0,Genji,attune,10|5|0,Tracer,QMain,1|6|0,Lucio,LMan,5|6|0,Zarya,TakeThis,12|6|0,"D.Va, Reinhardt",NAVI,5|7|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=24m26s
6221,6,OWLunatic Hai,2,2,A,Kings,Hybrid,3/3CP,8,90,Afreeca Freecs Red,23,Ryujehong,3|4|0,Ana,tobi,2|4|0,Lucio,Miro,3|6|0,"Winston, Reinhardt",zunba,6|4|1,"D.Va, Zarya, D.Va",Leetaejun,5|6|0,"Pharah, Roadhog, Tracer",Whoru,11|4|0,Genji,https|//youtu.be/wTIRw2Hzm9Y?t=35m16s
6222,6,Afreeca Freecs Red,2,2,D,Kings,Hybrid,0/3Cp,23,10,OWLunatic Hai,8,TyDolla,11|6|0,Genji,attune,8|6|0,Tracer,QMain,0|5|0,Lucio,LMan,5|4|1,"Zarya, Winston",TakeThis,4|4|0,D.Va,NAVI,0|5|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=35m16s
6231,6,OWLunatic Hai,2,3,D,Kings,Tbreak,3/3CP,8,90,Afreeca Freecs Red,23,Ryujehong,1|0|0,Ana,tobi,0|0|0,Lucio,Miro,1|0|0,Reinhardt,zunba,2|0|0,D.Va,Leetaejun,1|0|0,Roadhog,Whoru,4|0|0,Soldier:76,https|//youtu.be/wTIRw2Hzm9Y?t=44m36s
6232,6,Afreeca Freecs Red,2,3,A,Kings,Tbreak,0/3CP,23,10,OWLunatic Hai,8,TyDolla,0|2|0,Genji,attune,0|2|0,Tracer,QMain,0|1|0,Lucio,LMan,0|2|0,Zarya,TakeThis,0|1|0,D.Va,NAVI,0|1|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=44m36s
6241,6,OWLunatic Hai,2,4,A,Kings,Tbreak,1/1CP,8,90,Afreeca Freecs Red,23,Ryujehong,1|1|0,Ana,tobi,0|0|0,Lucio,Miro,0|1|0,Winston,zunba,5|0|0,D.Va,Leetaejun,5|0|0,Tracer,Whoru,2|1|0,Genji,https|//youtu.be/wTIRw2Hzm9Y?t=47m18s
6242,6,Afreeca Freecs Red,2,4,D,Kings,Tbreak,0/1CP,23,10,OWLunatic Hai,8,TyDolla,0|2|0,Genji,attune,2|2|0,Tracer,QMain,0|2|0,Lucio,LMan,0|3|0,"Zarya, Winston",TakeThis,1|2|0,D.Va,NAVI,0|0|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=47m18s
6311,6,OWLunatic Hai,3,1,D,Volk,Assault,1/2CP,8,90,Afreeca Freecs Red,23,Ryujehong,1|5|0,Ana,tobi,2|5|0,Lucio,Miro,7|2|0,"Reinhardt, Winston",zunba,4|3|1,D.Va,Leetaejun,5|4|0,"Roadhog, Soldier:76, Tracer",Whoru,10|3|0,Genji,https|//youtu.be/wTIRw2Hzm9Y?t=58m22s
6312,6,Afreeca Freecs Red,3,1,A,Volk,Assault,1/2CP,23,10,OWLunatic Hai,8,TyDolla,9|6|0,Genji,attune,3|5|0,Tracer,QMain,3|5|0,Lucio,LMan,2|4|0,Zarya,TakeThis,5|4|1,D.Va,NAVI,0|5|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=58m22s
6321,6,OWLunatic Hai,3,2,A,Volk,Assault,2/2CP,8,90,Afreeca Freecs Red,23,Ryujehong,7|3|0,"Zenyatta, Ana",tobi,1|2|0,Lucio,Miro,2|4|0,Winston,zunba,5|1|1,"D.Va, Zarya",Leetaejun,3|3|0,"Tracer, Roadhog",Whoru,6|4|0,"Genji, McCree, Soldier:76, Genji",https|//youtu.be/wTIRw2Hzm9Y?t=1h8m49s
6322,6,Afreeca Freecs Red,3,2,D,Volk,Assault,0/2CP,23,10,OWLunatic Hai,8,TyDolla,4|7|0,"Sombra, Genji",attune,4|4|0,Tracer,QMain,1|5|0,Lucio,LMan,6|3|0,Zarya,TakeThis,1|2|1,D.Va,NAVI,1|3|0,Ana,https|//youtu.be/wTIRw2Hzm9Y?t=1h8m49s
