KF_ID,Match,Game,Round,Player 1,Character 1,Killed,Player 2,Character 2,Map,Level/Attack,,,,,,,,,
KF-31,1,1,1,Undine,Lucio,Killed,cocco,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-32,1,1,1,Brek,Reinhardt,Killed,Taimou,McCree,Ilios,Ruins,,,,,,,,,
KF-33,1,1,1,INTERNETHULK,Lucio,Killed,Brek,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-34,1,1,1,harryhook,Soldier:76,Killed,WhyNot,Zarya,Ilios,Ruins,,,,,,,,,
KF-35,1,1,1,harryhook,Soldier:76,Killed,Undine,Lucio,Ilios,Ruins,,,,,,,,,
KF-36,1,1,1,Taimou,Tracer,Killed,EasyBro,Genji,Ilios,Ruins,,,,,,,,,
KF-37,1,1,1,Mickie,D.Va,Killed,OneFact,Tracer,Ilios,Ruins,,,,,,,,,
KF-38,1,1,1,Mickie,D.Va,Killed,sylph,Ana,Ilios,Ruins,,,,,,,,,
KF-39,1,1,1,cocco,Reinhardt,Killed,Brek,Reinhardt,Ilios,Ruins,,,,,,,,,
KF-40,1,1,1,Taimou,Tracer,Killed,WhyNot,D.Va,Ilios,Ruins,,,,,,,,,
KF-41,1,1,1,harryhook,Soldier:76,Killed,Undine,Lucio,Ilios,Ruins,,,,,,,,,
KF-42,1,1,2,Taimou,Tracer,Killed,WhyNot,Zarya,Ilios,Well,,,,,,,,,
KF-43,1,1,2,EasyBro,Genji,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-44,1,1,2,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Well,,,,,,,,,
KF-45,1,1,2,EasyBro,Genji,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-46,1,1,2,EasyBro,Genji,Killed,INTERNETHULK,Lucio,Ilios,Well,,,,,,,,,
KF-47,1,1,2,Taimou,Tracer,Killed,sylph,Ana,Ilios,Well,,,,,,,,,
KF-48,1,1,2,OneFact,Tracer,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-49,1,1,2,Taimou,Tracer,Killed,EasyBro,Genji,Ilios,Well,,,,,,,,,
KF-50,1,1,2,Brek,Reinhardt,Killed,Mickie,D.Va,Ilios,Well,,,,,,,,,
KF-51,1,1,2,chipshajen,Ana,Killed,Undine,Lucio,Ilios,Well,,,,,,,,,
KF-52,1,1,2,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Well,,,,,,,,,
KF-53,1,1,2,Brek,Reinhardt,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-54,1,1,2,harryhook,Soldier:76,Killed,OneFact,Tracer,Ilios,Well,,,,,,,,,
KF-55,1,1,2,INTERNETHULK,Lucio,Killed,WhyNot,Zarya,Ilios,Well,,,,,,,,,
KF-56,1,1,2,Mickie,D.Va,Killed,Undine,Lucio,Ilios,Well,,,,,,,,,
KF-57,1,1,2,Brek,Reinhardt,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-58,1,1,2,Mickie,D.Va,Killed,sylph,Ana,Ilios,Well,,,,,,,,,
KF-59,1,1,2,cocco,Reinhardt,Killed,Brek,Reinhardt,Ilios,Well,,,,,,,,,
KF-60,1,1,2,Mickie,D.Va,Killed,Undine,Lucio,Ilios,Well,,,,,,,,,
KF-61,1,1,2,Mickie,D.Va,Killed,EasyBro,Genji,Ilios,Well,,,,,,,,,
KF-62,1,1,2,WhyNot,Zarya,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-63,1,1,2,Taimou,Tracer,Killed,WhyNot,Zarya,Ilios,Well,,,,,,,,,
KF-64,1,1,2,EasyBro,McCree,Killed,Mickie,D.Va,Ilios,Well,,,,,,,,,
KF-65,1,1,2,harryhook,Soldier:76,Killed,sylph,Ana,Ilios,Well,,,,,,,,,
KF-66,1,1,2,Brek,Reinhardt,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-67,1,1,2,cocco,Reinhardt,Killed,EasyBro,McCree,Ilios,Well,,,,,,,,,
KF-68,1,1,2,cocco,Reinhardt,Killed,WhyNot,Zarya,Ilios,Well,,,,,,,,,
KF-69,1,1,2,Brek,Reinhardt,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-70,1,1,2,Taimou,Tracer,Killed,Brek,Reinhardt,Ilios,Well,,,,,,,,,
KF-71,1,1,2,chipshajen,Ana,Killed,OneFact,Tracer,Ilios,Well,,,,,,,,,
KF-72,1,1,2,EasyBro,McCree,Killed,Taimou,Tracer,Ilios,Well,,,,,,,,,
KF-73,1,1,2,Undine,Lucio,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-74,1,1,2,chipshajen,Ana,Killed,Brek,Reinhardt,Ilios,Well,,,,,,,,,
KF-75,1,1,2,EasyBro,McCree,Killed,INTERNETHULK,Lucio,Ilios,Well,,,,,,,,,
KF-76,1,1,2,cocco,Reinhardt,Killed,sylph,Ana,Ilios,Well,,,,,,,,,
KF-77,1,1,2,WhyNot,Zarya,Killed,chipshajen,Ana,Ilios,Well,,,,,,,,,
KF-78,1,1,2,OneFact,Tracer,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-79,1,1,2,EasyBro,McCree,Killed,Mickie,D.Va,Ilios,Well,,,,,,,,,
KF-80,1,1,2,-,-,Suicide,Mickie,D.Va,Ilios,Well,,,,,,,,,
KF-81,1,1,2,sylph,Ana,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-82,1,1,2,EasyBro,McCree,Killed,Taimou,Tracer,Ilios,Well,,,,,,,,,
KF-83,1,1,2,-,-,Suicide,INTERNETHULK,Lucio,Ilios,Well,,,,,,,,,
KF-84,1,1,2,sylph,Ana,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-85,1,1,2,Mickie,D.Va,Killed,WhyNot,Zarya,Ilios,Well,,,,,,,,,
KF-86,1,1,2,EasyBro,McCree,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-87,1,1,2,Brek,Reinhardt,Killed,chipshajen,Ana,Ilios,Well,,,,,,,,,
KF-88,1,1,2,Brek,Reinhardt,Killed,INTERNETHULK,Lucio,Ilios,Well,,,,,,,,,
KF-89,1,1,2,OneFact,Tracer,Killed,Mickie,D.Va,Ilios,Well,,,,,,,,,
KF-90,1,1,2,-,-,Suicide,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-91,1,1,2,Undine,Lucio,Killed,Taimou,Tracer,Ilios,Well,,,,,,,,,
KF-92,1,1,2,Mickie,D.Va,Killed,WhyNot,Zarya,Ilios,Well,,,,,,,,,
KF-93,1,1,2,OneFact,Tracer,Killed,harryhook,Soldier:76,Ilios,Well,,,,,,,,,
KF-94,1,1,2,INTERNETHULK,Lucio,Killed,Brek,Reinhardt,Ilios,Well,,,,,,,,,
KF-95,1,1,2,OneFact,Tracer,Killed,Taimou,McCree,Ilios,Well,,,,,,,,,
KF-96,1,1,2,Undine,Lucio,Killed,Mickie,D.Va,Ilios,Well,,,,,,,,,
KF-97,1,1,2,EasyBro,McCree,Killed,chipshajen,Ana,Ilios,Well,,,,,,,,,
KF-98,1,1,2,Undine,Lucio,Killed,cocco,Reinhardt,Ilios,Well,,,,,,,,,
KF-99,1,1,2,EasyBro,McCree,Killed,INTERNETHULK,Lucio,Ilios,Well,,,,,,,,,
KF-100,1,1,3,EasyBro,Genji,Killed,cocco,Reinhardt,Ilios,Lighthouse,,,,,,,,,
KF-101,1,1,3,EasyBro,Genji,Killed,harryhook,Soldier:76,Ilios,Lighthouse,,,,,,,,,
KF-102,1,1,3,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Lighthouse,,,,,,,,,
KF-103,1,1,3,Mickie,D.Va,Killed,sylph,Ana,Ilios,Lighthouse,,,,,,,,,
KF-104,1,1,3,-,-,Suicide,Taimou,Roadhog,Ilios,Lighthouse,,,,,,,,,
KF-105,1,1,3,Brek,Reinhardt,Killed,Mickie,D.Va,Ilios,Lighthouse,,,,,,,,,
KF-106,1,1,3,OneFact,Tracer,Killed,INTERNETHULK,Lucio,Ilios,Lighthouse,,,,,,,,,
KF-107,1,1,3,EasyBro,Genji,Killed,INTERNETHULK,Lucio,Ilios,Lighthouse,,,,,,,,,
KF-108,1,1,3,Taimou,Tracer,Killed,sylph,Ana,Ilios,Lighthouse,,,,,,,,,
KF-109,1,1,3,Brek,Reinhardt,Killed,cocco,Reinhardt,Ilios,Lighthouse,,,,,,,,,
KF-110,1,1,3,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Lighthouse,,,,,,,,,
KF-111,1,1,3,Taimou,Tracer,Killed,Brek,Reinhardt,Ilios,Lighthouse,,,,,,,,,
KF-112,1,1,3,Undine,Lucio,Killed,Mickie,Zarya,Ilios,Lighthouse,,,,,,,,,
KF-113,1,1,3,OneFact,Tracer,Killed,Taimou,Tracer,Ilios,Lighthouse,,,,,,,,,
KF-114,1,1,3,EasyBro,Genji,Killed,chipshajen,Ana,Ilios,Lighthouse,,,,,,,,,
KF-115,1,1,3,Undine,Lucio,Killed,harryhook,Soldier:76,Ilios,Lighthouse,,,,,,,,,
KF-116,1,1,3,OneFact,Tracer,Killed,INTERNETHULK,Lucio,Ilios,Lighthouse,,,,,,,,,
KF-117,1,1,3,WhyNot,D.Va,Killed,Mickie,Zarya,Ilios,Lighthouse,,,,,,,,,
KF-118,1,1,3,EasyBro,Genji,Killed,cocco,Reinhardt,Ilios,Lighthouse,,,,,,,,,
KF-119,1,1,3,EasyBro,Genji,Killed,Taimou,Tracer,Ilios,Lighthouse,,,,,,,,,
KF-120,1,1,3,OneFact,Tracer,Killed,Mickie,Zarya,Ilios,Lighthouse,,,,,,,,,
KF-121,1,1,3,INTERNETHULK,Lucio,Killed,Brek,Reinhardt,Ilios,Lighthouse,,,,,,,,,
KF-122,1,1,3,OneFact,Tracer,Killed,chipshajen,Ana,Ilios,Lighthouse,,,,,,,,,
KF-123,1,1,3,INTERNETHULK,Lucio,Killed,Undine,Lucio,Ilios,Lighthouse,,,,,,,,,
KF-124,1,1,3,harryhook,Soldier:76,Killed,EasyBro,Genji,Ilios,Lighthouse,,,,,,,,,
KF-125,1,1,3,Taimou,Tracer,Killed,sylph,Ana,Ilios,Lighthouse,,,,,,,,,
KF-126,1,1,3,cocco,Reinhardt,Killed,OneFact,Tracer,Ilios,Lighthouse,,,,,,,,,
KF-127,1,1,3,WhyNot,D.Va,Killed,Taimou,Tracer,Ilios,Lighthouse,,,,,,,,,
KF-128,1,1,3,WhyNot,D.Va,Killed,cocco,Reinhardt,Ilios,Lighthouse,,,,,,,,,
KF-129,1,1,3,Brek,Reinhardt,Killed,INTERNETHULK,Lucio,Ilios,Lighthouse,,,,,,,,,
KF-130,1,2,1,EasyBro,Genji,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-131,1,2,1,INTERNETHULK,Lucio,Killed,EasyBro,Genji,King's Row,EnvyUs attack,,,,,,,,,
KF-132,1,2,1,OneFact,McCree,Killed,harryhook,Roadhog,King's Row,EnvyUs attack,,,,,,,,,
KF-133,1,2,1,EasyBro,Genji,Killed,Harryhook,Roadhog,King's Row,EnvyUs attack,,,,,,,,,
KF-134,1,2,1,EasyBro,Genji,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-135,1,2,1,Brek,Reinhardt,Killed,Mickie,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-136,1,2,1,EasyBro,Genji,Killed,INTERNETHULK,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-137,1,2,1,chipshajen,Ana,Killed,EasyBro,Genji,King's Row,EnvyUs attack,,,,,,,,,
KF-138,1,2,1,Mickie,D.Va,Killed,OneFact,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-139,1,2,1,Brek,Reinhardt,Killed,INTERNETHULK,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-140,1,2,1,WhyNot,Zarya,Killed,Harryhook,Roadhog,King's Row,EnvyUs attack,,,,,,,,,
KF-141,1,2,1,Mickie,D.Va,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-142,1,2,1,EasyBro,Genji,Killed,chipshajen,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-143,1,2,1,Taimou,Hanzo,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-144,1,2,1,OneFact,McCree,Killed,Harryhook,Winston,King's Row,EnvyUs attack,,,,,,,,,
KF-145,1,2,1,Undine,Lucio,Killed,Taimou,Hanzo,King's Row,EnvyUs attack,,,,,,,,,
KF-146,1,2,1,WhyNot,Zarya,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-147,1,2,1,OneFact,McCree,Killed,Mickie,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-148,1,2,1,sylph,Ana,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-149,1,2,1,Brek,Reinhardt,Killed,INTERNETHULK,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-150,1,2,1,Taimou,McCree,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-151,1,2,1,chipshajen,Ana,Killed,EasyBro,Genji,King's Row,EnvyUs attack,,,,,,,,,
KF-152,1,2,1,WhyNot,Zarya,Killed,chipshajen,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-153,1,2,1,Taimou,McCree,Killed,OneFact,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-154,1,2,1,WhyNot,Zarya,Killed,INTERNETHULK,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-155,1,2,1,Mickie,D.Va,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-156,1,2,1,Brek,Reinhardt,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-157,1,2,1,Mickie,D.Va,Killed,WhyNot,Zarya,King's Row,EnvyUs attack,,,,,,,,,
KF-158,1,2,1,harryhook,Tracer,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-159,1,2,1,harryhook,Tracer,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-160,1,2,1,Taimou,McCree,Killed,EasyBro,Roadhog,King's Row,EnvyUs attack,,,,,,,,,
KF-161,1,2,1,Mickie,D.Va,Killed,OneFact,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-162,1,2,1,Taimou,McCree,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-163,1,2,1,cocco,Reinhardt,Killed,EasyBro,Genji,King's Row,EnvyUs attack,,,,,,,,,
KF-164,1,2,1,cocco,Reinhardt,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-165,1,2,1,sylph,Ana,Killed,Taimou,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-166,1,2,1,cocco,Reinhardt,Killed,WhyNot,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-167,1,2,1,Mickie,D.Va,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-168,1,2,1,EasyBro,Genji,Killed,chipshajen,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-169,1,2,1,Mickie,D.Va,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-170,1,2,1,Taimou,McCree,Killed,WhyNot,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-171,1,2,1,Taimou,McCree,Killed,OneFact,Reaper,King's Row,EnvyUs attack,,,,,,,,,
KF-172,1,2,1,INTERNETHULK,Lucio,Killed,EasyBro,Genji,King's Row,EnvyUs attack,,,,,,,,,
KF-173,1,2,1,cocco,Reinhardt,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-174,1,2,1,Harryhook,Zarya,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-175,1,2,1,Mickie,D.Va,Killed,OneFact,Soldier:76,King's Row,EnvyUs attack,,,,,,,,,
KF-176,1,2,1,INTERNETHULK,Lucio,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-177,1,2,1,Harryhook,Zarya,Killed,EasyBro,Genji,King's Row,EnvyUs attack,,,,,,,,,
KF-178,1,2,1,Brek,Reinhardt,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-179,1,2,1,WhyNot,D.Va,Killed,Harryhook,Zarya,King's Row,EnvyUs attack,,,,,,,,,
KF-180,1,2,1,Taimou,McCree,Killed,EasyBro,Tracer,King's Row,EnvyUs attack,,,,,,,,,
KF-181,1,2,1,Undine,Lucio,Killed,INTERNETHULK,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-182,1,2,1,OneFact,Soldier:76,Killed,Mickie,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-183,1,2,1,Brek,Reinhardt,Killed,Taimou,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-184,1,2,1,Taimou,McCree,Killed,EasyBro,Tracer,King's Row,EnvyUs attack,,,,,,,,,
KF-185,1,2,1,OneFact,Soldier:76,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-186,1,2,1,Mickie,D.Va,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-187,1,2,1,Brek,Reinhardt,Killed,Taimou,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-188,1,2,1,Harryhook,Zarya,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-189,1,2,1,OneFact,Soldier:76,Killed,INTERNETHULK,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-190,1,2,1,chipshajen,Ana,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-191,1,2,1,Harryhook,Zarya,Killed,OneFact,Soldier:76,King's Row,EnvyUs attack,,,,,,,,,
KF-192,1,2,1,WhyNot,D.Va,Killed,chipshajen,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-193,1,2,1,Mickie,D.Va,Killed,OneFact,Soldier:76,King's Row,EnvyUs attack,,,,,,,,,
KF-194,1,2,1,Harryhook,Zarya,Killed,EasyBro,Roadhog,King's Row,EnvyUs attack,,,,,,,,,
KF-195,1,2,1,WhyNot,D.Va,Killed,cocco,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-196,1,2,1,Mickie,D.Va,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-197,1,2,1,Taimou,McCree,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-198,1,2,1,Harryhook,Zarya,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-199,1,2,1,chipshajen,Ana,Killed,WhyNot,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-200,1,2,1,Brek,Reinhardt,Killed,Taimou,McCree,King's Row,EnvyUs attack,,,,,,,,,
KF-201,1,2,1,sylph,Ana,Killed,Harryhook,Zarya,King's Row,EnvyUs attack,,,,,,,,,
KF-202,1,2,1,Mickie,D.Va,Killed,OneFact,Soldier:76,King's Row,EnvyUs attack,,,,,,,,,
KF-203,1,2,1,chipshajen,Ana,Killed,EasyBro,Tracer,King's Row,EnvyUs attack,,,,,,,,,
KF-204,1,2,1,INTERNETHULK,Lucio,Killed,Brek,Reinhardt,King's Row,EnvyUs attack,,,,,,,,,
KF-205,1,2,1,Mickie,D.Va,Killed,sylph,Ana,King's Row,EnvyUs attack,,,,,,,,,
KF-206,1,2,1,INTERNETHULK,Lucio,Killed,Undine,Lucio,King's Row,EnvyUs attack,,,,,,,,,
KF-207,1,2,1,Mickie,D.Va,Killed,OneFact,Soldier:76,King's Row,EnvyUs attack,,,,,,,,,
KF-208,1,2,1,cocco,Reinhardt,Killed,WhyNot,D.Va,King's Row,EnvyUs attack,,,,,,,,,
KF-209,1,2,1,Harryhook,Soldier:76,Killed,EasyBro,Bastion,King's Row,EnvyUs attack,,,,,,,,,
KF-210,1,2,2,OneFact,Soldier:76,Killed,cocco,Reinhardt,King's Row,MVP Infinity attack,,,,,,,,,
KF-211,1,2,2,Taimou,Roadhog,Killed,OneFact,Soldier:76,King's Row,MVP Infinity attack,,,,,,,,,
KF-212,1,2,2,INTERNETHULK,Symmetra,Killed,sylph,Ana,King's Row,MVP Infinity attack,,,,,,,,,
KF-213,1,2,2,Brek,Reinhardt,Killed,Harryhook,Soldier:76,King's Row,MVP Infinity attack,,,,,,,,,
KF-214,1,2,2,Brek,Reinhardt,Killed,Mickie,D.Va,King's Row,MVP Infinity attack,,,,,,,,,
KF-215,1,2,2,Brek,Reinhardt,Killed,cocco,Reinhardt,King's Row,MVP Infinity attack,,,,,,,,,
KF-216,1,2,2,Brek,Reinhardt,Killed,chipshajen,Ana,King's Row,MVP Infinity attack,,,,,,,,,
KF-217,1,2,2,WhyNot,Zarya,Killed,Taimou,Roadhog,King's Row,MVP Infinity attack,,,,,,,,,
KF-218,1,2,2,WhyNot,Zarya,Killed,Harryhook,Soldier:76,King's Row,MVP Infinity attack,,,,,,,,,
KF-219,1,2,2,Brek,Reinhardt,Killed,chipshajen,Ana,King's Row,MVP Infinity attack,,,,,,,,,
KF-220,1,2,2,EasyBro,Hanzo,Killed,INTERNETHULK,Symmetra,King's Row,MVP Infinity attack,,,,,,,,,
KF-221,1,2,2,WhyNot,Zarya,Killed,Harryhook,Soldier:76,King's Row,MVP Infinity attack,,,,,,,,,
KF-222,1,2,2,EasyBro,Hanzo,Killed,Taimou,Roadhog,King's Row,MVP Infinity attack,,,,,,,,,
KF-223,1,2,2,cocco,Reinhardt,Killed,Undine,Lucio,King's Row,MVP Infinity attack,,,,,,,,,
KF-224,1,2,2,cocco,Reinhardt,Killed,EasyBro,Hanzo,King's Row,MVP Infinity attack,,,,,,,,,
KF-225,1,2,2,Brek,Reinhardt,Killed,cocco,Reinhardt,King's Row,MVP Infinity attack,,,,,,,,,
KF-226,1,2,2,Brek,Reinhardt,Killed,Mickie,D.Va,King's Row,MVP Infinity attack,,,,,,,,,
KF-227,1,2,2,Harryhook,Soldier:76,Killed,EasyBro,Tracer,King's Row,MVP Infinity attack,,,,,,,,,
KF-228,1,2,2,Harryhook,Soldier:76,Killed,Undine,Lucio,King's Row,MVP Infinity attack,,,,,,,,,
KF-229,1,2,2,chipshajen,Ana,Killed,sylph,Ana,King's Row,MVP Infinity attack,,,,,,,,,
KF-230,1,2,2,Harryhook,Soldier:76,Killed,Brek,Reinhardt,King's Row,MVP Infinity attack,,,,,,,,,
KF-231,1,2,2,Harryhook,Soldier:76,Killed,WhyNot,Zarya,King's Row,MVP Infinity attack,,,,,,,,,
KF-232,1,2,2,Taimou,Roadhog,Killed,EasyBro,Roadhog,King's Row,MVP Infinity attack,,,,,,,,,
KF-233,1,2,2,Taimou,Roadhog,Killed,sylph,Ana,King's Row,MVP Infinity attack,,,,,,,,,
KF-234,1,2,2,sylph,Ana,Killed,Taimou,Roadhog,King's Row,MVP Infinity attack,,,,,,,,,
KF-235,1,2,2,WhyNot,Zarya,Killed,INTERNETHULK,Lucio,King's Row,MVP Infinity attack,,,,,,,,,
KF-236,1,2,2,OneFact,Soldier:76,Killed,Mickie,D.Va,King's Row,MVP Infinity attack,,,,,,,,,
KF-237,1,2,2,OneFact,Soldier:76,Killed,Harryhook,Soldier:76,King's Row,MVP Infinity attack,,,,,,,,,
KF-238,1,2,2,sylph,Ana,Killed,INTERNETHULK,Lucio,King's Row,MVP Infinity attack,,,,,,,,,
KF-239,1,2,2,EasyBro,Roadhog,Killed,Harryhook,Soldier:76,King's Row,MVP Infinity attack,,,,,,,,,
KF-240,1,2,2,Taimou,Roadhog,Killed,EasyBro,Roadhog,King's Row,MVP Infinity attack,,,,,,,,,
KF-241,1,2,2,Brek,Reinhardt,Killed,cocco,Reinhardt,King's Row,MVP Infinity attack,,,,,,,,,
KF-242,1,2,2,OneFact,Soldier:76,Killed,Taimou,Roadhog,King's Row,MVP Infinity attack,,,,,,,,,
KF-243,1,2,2,WhyNot,Zarya,Killed,chipshajen,Ana,King's Row,MVP Infinity attack,,,,,,,,,
